康师傅茉莉浪漫电影季之茉等花开	9,110万次播放
《在等待中度过的童年》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	197.2万次播放
史上最牛：跑过死神的生命快递员！	197.2万次播放
福特福睿斯幸福时光微电影大赛——爱途之校园恋曲	197.0万次播放
筷子兄弟第二部《你在哪里》	196.4万次播放
别人的男人更靠谱（男人对待别人的女人才是热血沸腾的）	194.8万次播放
男人没钱是垃圾，结婚就是一场《巨额交配》	194.6万次播放
《成人记》第十集	192.1万次播放
悬疑惊悚片《午夜惊魂》	191.6万次播放
Be Water My Friend! Bruce Lee Remix [李小龙赞赏]	191.4万次播放
懂 — 天使眼中的世界	190.9万次播放
福特福睿斯幸福时光微电影大赛——再一次浪漫	190.3万次播放
曾庆杰作品《剪辑人生》	190.2万次播放
侵入脑神经	190.1万次播放
C19 我是飞型	190.1万次播放
《大城小贼》粤式悬疑PK疯狂石头结局大逆转	189.6万次播放
脱光女汉子	189.0万次播放
小偷、强盗和女骗子	188.9万次播放
卡地亚Cartier 全新影片《The Proposal》	188.6万次播放
三亚婚纱照	188.6万次播放
长须剩男伤得起	188.6万次播放
《重生》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	188.6万次播放
碰瓷遇上黑社会 说辞	188.6万次播放
女主管是这样爬上来的	188.5万次播放
毕业季原创电影《毕夜》——这就是大学！	188.3万次播放
王羲之篇	188.2万次播放
TCL《爱上冰激凌》	188.2万次播放
毛骗 第16集（网络版）	187.8万次播放
《师心如山》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	187.6万次播放
王小帅射手座《远方》预告	187.5万次播放
一个4S店汽车销售顾问的一天	187.4万次播放
幸福的距离	187.3万次播放
阿宅拯救计划女仆篇	187.2万次播放
卡地亚携手张震推出全新微电影《手》	186.9万次播放
回家的诱惑现实版	186.6万次播放
如何选择一个靠谱男人	186.5万次播放
《爱有多久》预告片	185.8万次播放
有一种激情，老婆永远给不了	185.8万次播放
微电影《浮云》北漂往事 揭秘真实的娱乐圈	185.8万次播放
《二十四孝之卧冰求鲤》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	185.6万次播放
《寄居人》正片	185.5万次播放
触电	185.0万次播放
贵圈	185.0万次播放
逆袭之《95分的烦恼》 沈沁源导演	184.8万次播放
为什么中国男生泡不到美国妞	184.5万次播放
触电	184.4万次播放
天空中最亮的星	183.9万次播放
《夜·车》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	183.5万次播放
mian系列微电影 “社交”帝李孟夏如何征服大蜜	183.4万次播放
《二十四孝之鹿乳奉亲》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	182.8万次播放
《嘻哈四重奏》第二季 03帅保安	182.7万次播放
《爱疯时代》中国首部iphone题材微电影	182.6万次播放
红色，是洛涵梦想的颜色！那你梦想的颜色，是什么？	182.1万次播放
我们都还太年轻	181.9万次播放
《不羁夜》---南艺07戏文毕业作品	181.8万次播放
富二代大白天校园车震 25	181.6万次播放
第六集——《段子一箩筐》	181.6万次播放
真人版《蝙蝠侠和葫芦娃》第2集：原创动画改编	181.0万次播放
《mistake》错过	180.8万次播放
你坑爹呐！！	180.4万次播放
X-Love 爱的未知数 - 完整版	180.3万次播放
野牛斗狮子	180.1万次播放
雪佛兰红粉笔公益支教五周年纪录片B	179.9万次播放
毛骗 第15集（网络版）	179.9万次播放
恐怖催眠师	179.7万次播放
《自行我路》杜琪峰作品	179.3万次播放
微电影《八零后的那些事》	179.1万次播放
青春不后退 年度暖心微电影	178.7万次播放
屌丝逆袭之红运当头	178.6万次播放
《我们混过的江湖》成片	178.3万次播放
毛骗·贰 第04集（网络版）	178.2万次播放
荣耀新力量2.0 —《忘川》	178.2万次播放
《艳遇丽江》下集	178.0万次播放
毛骗 第20集（网络版）	177.9万次播放
《成人记》第三集	177.5万次播放
欲望 微电影	176.7万次播放
微电影《任性局长》再现反腐枪声	176.7万次播放
李宁 Shine动·穿越回去 第四集	176.6万次播放
【Loveweir字幕组】电影《你好陌生人》中字	176.4万次播放
首部盗墓题材微电影《古村迷夜》	175.7万次播放
父亲的飞机	174.9万次播放
罗永浩的幸福语录	174.7万次播放
自由协会 西安建筑科技大学摄影系 毕业短片	174.6万次播放
这么近 那么远	174.3万次播放
我想谈谈谈谈恋爱！	174.3万次播放
震撼！七擒孟获的真相	173.9万次播放
光之塔 The Lighthouse。	173.3万次播放
,网络偶像剧《我们》	173.2万次播放
【iu最酷榜】世界给中国神曲跪了 120720	173.0万次播放
雅马哈励志亲情微电影《父亲的小号》	173.0万次播放
《成人记》第九集成片	172.6万次播放
【微电影】蕾丝女孩	172.6万次播放
星爷的悲催相亲史	172.0万次播放
大学生同居的事儿06集	171.8万次播放
《父亲的手》让爱倍轻松	171.3万次播放
《嘻哈四重奏》第2季07解压哥哥（下）	171.2万次播放
电影中最美的制服诱惑妹子们	170.8万次播放
《听火车》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	170.8万次播放
明眸救兵深夜拯救	170.4万次播放
面膜秘籍大公开！	170.2万次播放
唯美小清新校园微电影【错过的美好】	170.1万次播放
双鱼女嫁的是爱情不是面包	170.0万次播放
特步X李易峰微电影《数字恋爱》	169.8万次播放
【18禁】2011上海女大学生遭遇僵尸，胆小者勿进	169.7万次播放
失忆的母爱，难忘的美味	169.5万次播放
小熊电器微电影《爱 不停炖2》	169.2万次播放
《成人记》第四集	169.1万次播放
YIF魔幻E04 霸王餐新吃法	169.0万次播放
2014《多多的电影教室》三组“小苹果”作品《白雪公主之小苹果》	168.6万次播放
香港漂亮女大学生 青涩物语 《明年今日》	168.5万次播放
意外	168.1万次播放
2016不做穷人；互联网+消费联盟趋势皱文静 马云 马化腾 李彦宏 乔布斯 雷军	9次播放
微电影《禁果》	167.7万次播放
微电影YOUNI_有你就有梦	167.4万次播放
追爱北京	167.3万次播放
康师傅饮品加你加年味微电影《舞狮篇》	167.2万次播放
网络电影《明媚的青春2：迷失》	166.9万次播放
《嘻哈四重奏》第2季09人人都爱孟昭君（上）	166.7万次播放
《掌心痣》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	166.6万次播放
毛骗 第17集（网络版）	166.1万次播放
特工最给力的秘密武器	165.4万次播放
怎样把女人骗上床(18岁以下禁止观看！)	165.4万次播放
我的吃货闺蜜	165.3万次播放
特步《解冻热情》微电影	165.3万次播放
微型剧《新生年华你最型》第二集：B型男 爱情重启者	165.1万次播放
【iu最酷榜】学长只能帮你到这儿 121123	164.8万次播放
DoubleX2携手王李丹妮及李兆基音乐微电影“态度”完整版	164.6万次播放
《嘻哈四重奏》第2季04关于小乔的推理	164.5万次播放
爱情从“耍流氓”开始	164.5万次播放
这就是大学里面所谓的爱情	164.0万次播放
《成人记》第五集	164.0万次播放
毛骗 第11集（网络版）	163.7万次播放
爱在游戏的日子影片版	163.5万次播放
统一奶茶 交换圣诞心愿传递大好心情	163.5万次播放
北京欢迎你（菏泽老年人版）	163.4万次播放
李宁 Shine动·穿越回去 第四集	163.0万次播放
【我有话要说】45期 最讨厌的星座？	162.6万次播放
微电影:「要出色」 上集	162.5万次播放
犯二的时光 全网独播	161.6万次播放
YIF魔幻E03 神奇水果置换	161.4万次播放
现代版诸神之战	161.2万次播放
我有随叫随到的太阳	161.2万次播放
毛骗 第12集（网络版）	161.1万次播放
窃听4之逆袭	160.9万次播放
《申命记》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	160.5万次播放
曹非	160.4万次播放
爱情单选题	160.1万次播放
《Calling You》第24届中国金鸡百花［映像.吉林］海峡两岸暨港澳青年微电影大赛参赛作品	159.8万次播放
浙工大浙西分校获奖DV作品《小巷红》	159.7万次播放
《大学时代》互联网最新低小下青春搞笑电影	159.3万次播放
星艺术个人艺术微电影-信念	159.2万次播放
父亲之《父女篇》预告片	158.7万次播放
两个男人和一个女人的音乐梦想	158.5万次播放
毛骗·贰 第05集（网络版）	158.4万次播放
欧派公益微电影《关机一小时》	158.0万次播放
MJ影视 xx市夏季严打 花絮	157.9万次播放
大学生同居的事儿前传	157.4万次播放
北大最新宣传微电影《星空日记》	157.4万次播放
《大雾将至》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	156.8万次播放
归	156.5万次播放
饭和爱情——小熊电器微电影《爱不停炖4》	156.2万次播放
林肯时刻•纪念日	156.1万次播放
《浮梦》 致青春	156.0万次播放
《快乐的小2B》02 爱上美女医生	156.0万次播放
房事	155.9万次播放
最好的朋友是恋人	155.9万次播放
助力回家梦一路有鹏友 微电影	154.7万次播放
腾讯“为爱充值”系列微电影《爱情不停机》	154.6万次播放
凄美的感情故事 我的模特女友 男主角超帅	154.2万次播放
中秋泪奔啊《父亲的手》如影随形	154.2万次播放
总统被扔鞋引发血战 预告片	154.0万次播放
M&amp;M&#039;S 逗趣追查令之线索篇（3）	153.9万次播放
陈子谦导演作品《从心发现》	153.6万次播放
刘波微电影《命运十分种》	153.4万次播放
速度达4分钟励志广告《追梦人》，我鼻子一酸就分享了！	152.7万次播放
男左女右第七集《时来运转》高清版	152.6万次播放
统一奶茶大好心情 长沙活动记录	152.5万次播放
为北漂做一次旅行 《妈妈的味道》#携程说走就走的旅行#	152.0万次播放
《快乐的小2B》04 苹果牌笔记本	151.5万次播放
毛骗 第13集（网络版）	151.4万次播放
[1021]武之梦_终极版	151.2万次播放
百多邦“伤得起才会赢”挑战第一期	151.1万次播放
《不老的梦》微电影	151.0万次播放
天生独型：90后青春手写体-精彩预告	150.9万次播放
BIG CHANGE 大改樂團 公益微電影	150.9万次播放
刘波微电影《冤家兄妹》	150.3万次播放
现在是最美的开始，菲诗小铺初恋气垫	149.7万次播放
校园爱情mv《可惜不是你》（华电）	149.7万次播放
夜场男模	149.5万次播放
《成人记》第六集	149.2万次播放
卡地亚 Cartier 倪妮演绎卡地亚婚礼系列	149.0万次播放
李宁 Shine动·穿越回去 第三集	148.6万次播放
致命情敌 - 女孩卖身筹钱遇真爱[超清版]	148.6万次播放
四大萌捕02	148.1万次播放
微电影《我们为什么不能在一起》正片-第一集	148.1万次播放
李宁 Shine动·穿越回去 第三集	147.9万次播放
《小伙挺挫》系列微喜剧 第一季	147.6万次播放
原创DV短片《COPY》	147.5万次播放
谎lying(现代小三）	147.4万次播放
如何泡妞“弹”恋爱	147.1万次播放
《辉比寻常》青春励志微电影——齐翔集团	147.0万次播放
KAPPA宠物提包	146.6万次播放
用手翻出来的歌曲	145.9万次播放
民工也疯狂系列	145.9万次播放
3D音乐唤醒你的耳朵	145.7万次播放
YIF魔幻 E12 Yif施法泡面悬浮	145.0万次播放
中国大学生测试处女的方法	144.8万次播放
自带救生圈游泳三天三夜	144.7万次播放
《爱人我问你》亚洲无码_高清_高清_标清	144.5万次播放
&lt;真幸福&gt;520感人影片，薛之谦主演西堤牛排微电影	144.1万次播放
红星美凯龙爱家日微电影《时间门》	144.1万次播放
心情SPA第三集：不想上班	144.0万次播放
微电影 讨债	143.9万次播放
【iu最酷榜】前女友的1000种死法 121214	143.7万次播放
毛骗 第19集（网络版）	143.6万次播放
大尺度电影《黑丝诱惑》好色男主人和美艳女佣人激情吻戏床戏	143.5万次播放
安全套试用员的幸福生活-揭秘世上最爽的工作	143.3万次播放
《快乐的小2B》09 疯狂的彩票	143.1万次播放
小Y毕业作品《蓝闺》，小兰：我是女生，我喜欢女生	142.8万次播放
《生在80》80后的人生很坎坷	142.3万次播放
《裸归》视频，请认真看一遍	142.2万次播放
《该死的胖子》	142.0万次播放
陪酒妹上位成黑社会大嫂《黑色》	141.9万次播放
尴尬的早晨	141.8万次播放
小幸感_完整合辑	141.7万次播放
《一起旅行吧》第三集	141.6万次播放
钓水鬼	141.6万次播放
特殊服务	141.5万次播放
年青时代1女人心	141.4万次播放
《快乐的小2B》10 逼良为偷	140.9万次播放
那个比我更晚去的女生	140.8万次播放
四大才子高考记——财大妹子演技要逆天吗？？！复旦的保安大叔也开挂了	140.3万次播放
珍惜眼前人--大学生感人爱情	140.0万次播放
读字恋爱	139.9万次播放
乖男乖女伤得起	139.8万次播放
辉昂人生-吴晓波篇	139.7万次播放
【微电影】我爱车大炮——豪车司机的爱情	139.5万次播放
乐乐的困境（央视第二届杭州国际微电影节金奖作品）	139.2万次播放
百年	341次播放
五年四班最新大连话喜剧《这里有情况》之大海教育员工Clip	138.6万次播放
大学生同居的事儿01	138.5万次播放
微电影《毕业那年》	138.2万次播放
爆笑：《我的隔壁是良人》第一季第5集：艳遇七天	138.2万次播放
逆袭之《大师》袁搏导演	137.7万次播放
夜倾情2014-11-01 心债の白痴母女	137.5万次播放
绿茶婊为求上位同时与两名男子偷情！《游春仕女图》春光乍泄！	137.5万次播放
优秀微电影 谜恋新郑 微电影	137.4万次播放
大学最遗憾的事	137.2万次播放
情歌—苍井空内涵版（绝无色情！！）	137.0万次播放
仿惠普自我推荐广告	136.5万次播放
【iu最酷榜】教授会武术流氓也挡不住 121026	136.4万次播放
《快乐的小2B》08 人妖时代	136.2万次播放
东北往事之黑道悲情电影—火雷管	135.3万次播放
《嘻哈四重奏》第2季08高手	135.3万次播放
kappa改装自行车	134.7万次播放
心情SPA第四集：花心	134.0万次播放
爆笑：《我的隔壁是良人》第一季第3集：爱的奉献	133.9万次播放
大学生同居的事儿13集	133.8万次播放
【我有话要说】04期：2012真的会来吗？	133.8万次播放
杨苗导演作品《秘密的爱》	133.7万次播放
万圣节辣妹化妆间 被吓晕 惨遭人工呼吸	133.7万次播放
《一起旅行吧》第四集	133.5万次播放
《早安！活力》 第2集--对焦梦想	133.1万次播放
看世界杯的裁判怎样遭报复	133.1万次播放
《快乐的小2B》07 小心美女	132.8万次播放
大学生同居的事儿08集	132.5万次播放
地铁美女的痒 高清	132.3万次播放
【iu最酷榜】美女单身原因大揭秘120824	132.0万次播放
野蛮牛仔骨PK太囧芥末虾球，谁是你的菜？	131.8万次播放
夫妻生活片流出	131.5万次播放
《 金属老程 》完整版 ／ 你是否相信会有命中注定？／	131.5万次播放
原创MV——赵薇《因为爱情》	131.4万次播放
《卢瑟很嚣张》屌丝逆袭暴富	131.3万次播放
绵阳微电影《嘻哈工商女子工商所》第一集	131.2万次播放
四级证书	131.2万次播放
电影《海天盛宴》揭海天盛筵潜规则！	131.1万次播放
《一起旅行吧》直播夜	131.0万次播放
严艺之导演作品《没有影子的人》	130.8万次播放
《游戏天团》第4集：浪骚满屋	130.8万次播放
【我有话要说】04期：2012真的会来吗？	130.7万次播放
看了三遍才看懂的《大王叫我来巡山》好。。。	130.7万次播放
微电影：备胎的自我修养——毅丝和黑木耳的故事完整版	130.2万次播放
卢正雨80后爱情励志《一人一半》	129.8万次播放
大学某男女生寝室夜聊天记录	129.7万次播放
《嘻哈4重奏》第2季解压哥哥（上）	129.7万次播放
广告《长虹FHD智能3D》美女跳绳 宅男也疯狂！	129.5万次播放
《嘻哈四重奏》第2季11大家都来晒红包	129.4万次播放
不服来挑战！最会演戏的80后	129.4万次播放
飞机降落失败	129.4万次播放
《你好，忧愁！》--- 小清新上位完胜学姐	129.4万次播放
《尖叫制片厂》 不速之客	129.2万次播放
郝蕾巨蟹座《180°之巨蟹&amp;魔羯》预告	129.1万次播放
天下无贼续集抢先看！	128.9万次播放
猥琐男和闲妻的故事	128.8万次播放
折800《烧不死的产品狗》贺岁大片（陈赫已不是最贱，笑出腹肌）	128.7万次播放
偷看合租女生洗澡	128.7万次播放
毛骗 第18集（网络版）	128.7万次播放
坚持·梦想·启航·音乐人	128.6万次播放
爸爸的“臻宝盒”：征婚锦囊	128.3万次播放
谜样女孩——淘女郎微电影	128.2万次播放
《情人节夺魂夜》	128.1万次播放
青春励志微电影—《女王逆袭》	128.0万次播放
暗号之你有神经病吗	127.8万次播放
校园爆笑系列喜剧之偷窥狂无与伦比的最爱	127.4万次播放
《快递哥》命运多舛坑爹的快递服务	127.1万次播放
女大学生连续遭大学生抢劫四次	127.0万次播放
留住情动一刻－灵感篇	126.8万次播放
毛骗·贰 第07集（网络版）	126.4万次播放
《早安！活力》 第4集—Mr.Right	126.4万次播放
调戏警察被打	126.3万次播放
爆笑：《我的隔壁是良人》第一季第2集：神马圣诞	126.1万次播放
《向前向后》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	126.1万次播放
杜蕾斯爱情故事	126.1万次播放
萌逗女神殊体验《不良因子》【邵氏影视发行】	125.9万次播放
励志爱情原创音乐电影《德州爱情故事》	125.8万次播放
《父亲》感恩版预告片	125.6万次播放
二十四孝之卧冰求鲤	125.5万次播放
三福全国时尚大赛冠军微电影	125.5万次播放
[霖珈娱乐作品]-[密爱]	125.4万次播放
逆袭之《1986》卫立洲导演	125.3万次播放
荣耀新力量2.0 — 《带着麻烦上路》	125.0万次播放
《浮云》屌丝无钱女友与人车震娱乐圈	124.9万次播放
蜜糖红茶活力版	124.9万次播放
【2013原创毕业展】微电影 纸条	124.8万次播放
《时光》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	124.8万次播放
卡萨帝携张亮父子演绎家期感动	124.6万次播放
暗恋什么的弱爆了！！！清新校花主动出击！！！	124.5万次播放
闯入者联盟	124.3万次播放
《醉红颜》亚洲无码_高清	124.1万次播放
MC洪磊《跟狗生气没意义》微电影加MV	124.1万次播放
恶魔真的来了！	124.0万次播放
泰国人又来挑衅了	123.8万次播放
Olay暖心大片感动亿万女性！催泪功力媲美韩剧！	123.8万次播放
《我们要冒险》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	123.7万次播放
微电影《蒲出去》粤语	123.6万次播放
柠檬红茶激扬版	123.5万次播放
《90度的幸福》第24届中国金鸡百花电影节「映像·吉林」海峡两岸暨港澳青年微电影大赛参赛作品	123.4万次播放
大学生同居的事儿12集	123.2万次播放
为爱刷新	123.1万次播放
大学生同居的事儿10集	123.0万次播放
我的微商老婆	122.8万次播放
太极拳系列微电影《太极寻踪》（第一集）	122.8万次播放
消失的爱情	122.6万次播放
妈！爱不释手！	122.5万次播放
大学生同居的事儿14集	122.4万次播放
牛奶红茶柔情版	122.1万次播放
父亲的飞机	121.9万次播放
【预告】倒演陈鸡丁导演枪战微电影处女作《渔翁计划》预告片	120.9万次播放
《嘻哈四重奏》第2季10人人都爱孟昭君（下）	120.9万次播放
《下一站》全高清版——北京大学元培学院学生作品	120.9万次播放
“你的辛苦，我最懂”快递员篇	120.8万次播放
《快乐的小2B》05 连环伤亡事件	120.8万次播放
《一起旅行吧》第一集	120.7万次播放
贾乃亮自制结婚周年微电影 李小璐飙泪不止	120.3万次播放
赵奕欢 主演《爆炸性新闻》	120.2万次播放
谁是你的菜30秒总预告	120.1万次播放
《绍洋上阵1·雷电帮起源》	119.9万次播放
爸爸的礼物	119.7万次播放
三人床下集 姐妹惊艳花瓣浴 戏耍悲情屌丝男	119.4万次播放
愤怒的唐僧第六集	119.4万次播放
实拍网店美女公车上交易	119.2万次播放
原创校园超清微电影《以毕业的名义》	119.1万次播放
微电影《亿万彩票》	119.1万次播放
等你，结婚(粗剪版）	119.1万次播放
weibo.com137732712，欢迎关注！	119.0万次播放
高级白富美的0.1%爱情	118.8万次播放
《爱情微电影--拍摄中100个最甜蜜的片段花絮》  婚礼视频 婚礼跟拍 婚礼录像 北京婚礼 5D2婚	118.6万次播放
电影【老男孩】	118.4万次播放
人总是会变 因为经过了时间 原创MV	118.3万次播放
四大萌捕03	118.1万次播放
《史上最长父亲节》微电影	118.0万次播放
国内首部公路微电影《生死劫数》	117.9万次播放
低头族的省思 -《Look Up》by Gary Turk - with subtitles (附字	117.7万次播放
勇敢爱系列微电影之《逐爱之旅》 黄精甫导演	117.5万次播放
【iu最酷榜】会说话的狗狗被主人调戏 120921	117.4万次播放
中秋必看大片《家的迁徙》方青卓神演技催人泪下	117.2万次播放
小幸感《寻找初恋情人》预告（15s）	117.1万次播放
2015成都法治微电影——法治成都·有你更可爱	117.1万次播放
动作喜剧微电影《人小鬼大》	117.1万次播放
看史上最牛光涂鸦（90秒完整版）	117.0万次播放
折翼的蚂蚁-第二期拍摄花絮－红竹盛世国际影视	116.9万次播放
喜怒哀乐	116.7万次播放
《我们留学生2:追梦的兔子》－完整影片	116.6万次播放
年度最感人微电影-《情感银行》	116.5万次播放
【正片】倒演陈鸡丁导演枪战微电影处女作《渔翁计划》	116.4万次播放
【校园微电影】《梵高骗了我们》百万点击率作品	116.3万次播放
你把爱情锁在哪	116.2万次播放
【嘻哈花絮】《嘻哈4重奏》NG花絮集锦	115.9万次播放
《路过》老兵	115.8万次播放
电影《曹州风云》	115.5万次播放
黄渤主演《伏魔者》微电影	115.5万次播放
一个天真宅男的坑爹网事.....	115.5万次播放
吃人花	115.4万次播放
爆笑：《我的隔壁是良人》第一季第4集：不想孤单	115.2万次播放
幸福语录之导演综合版	115.1万次播放
《唯》	115.0万次播放
大学生第一次生活	115.0万次播放
当变形金刚爱上chicaloca	114.9万次播放
原创网络情景剧《天剩我才》	114.8万次播放
《嘻哈四重奏》第2季office新年大联欢	114.7万次播放
《魔幻森林》	114.7万次播放
《我的青春，你未曾缺席》	114.4万次播放
超感人校园青春微电影【暗恋】哪个谁，你还好吗？	114.4万次播放
云南山歌	114.3万次播放
套中人	114.2万次播放
百变金刚追女记	114.1万次播放
雄起吧超级屌丝联盟 易车11.11系列短片第六弹	113.6万次播放
东莞嫖客和小姐更黄更爆力的微讲述嫖客与妓女的故事	113.5万次播放
喜怒哀乐	113.5万次播放
百事淘宝《为渴望而创》青春励志剧 第4集	113.0万次播放
喜怒哀乐	112.9万次播放
阁僚兄弟微电影	112.9万次播放
原创DV短片:夜色中的高跟鞋	112.9万次播放
纽约广告奖作品	112.9万次播放
最搞笑，最感人，最现实的东北喜剧电影—你丫还钱	112.7万次播放
青春路系列微电影之二：选择，证明真爱的存在。	112.7万次播放
康师傅饮品加你加年味微电影《年夜饭篇》	112.6万次播放
父亲探班花絮	112.6万次播放
hata exandig	112.6万次播放
喜力呈献：看多一眼	112.5万次播放
微电影《守候》#壹基金公益映像节#	112.4万次播放
幸福语录之苗炜	111.9万次播放
李小龙留给我们的功夫遗产	111.8万次播放
大学生同居的事儿11集	111.7万次播放
【我有话要说】03期：女找男难还是男找女难	111.6万次播放
《快乐的小2B》06 国足也不容易	111.6万次播放
黑色幽默微电影《上错车》第一集	111.4万次播放
益达《酸甜苦辣II》第一集	111.4万次播放
怎么又是我	111.4万次播放
毛骗·贰 第06集（网络版）	111.2万次播放
松原890 老占山斗鬼子(一)	111.1万次播放
看大学生怎样戏弄美女老师 。。。	111.1万次播放
【iu最酷榜】外国人眼中的中国富二代 120713	111.1万次播放
康师傅饮品加你加年味微电影《挥春篇》	111.1万次播放
当女人们得知丈夫买了GT86	111.1万次播放
非常贼	111.1万次播放
东北方言喜剧《圈A表妹》第01集(小打小闹实验室出品)	110.8万次播放
【Kingston金士頓】2013 A Memory to Remember 記憶月台	110.6万次播放
女生寝室中的笔仙！胆小勿看	110.4万次播放
【IU最酷榜】马天宇MV男扮女装震撼上演111105	110.4万次播放
《末日奏鸣曲》——世界末日之前，我们一起唱过的那些歌。	110.2万次播放
动机Motive	110.2万次播放
《结婚》致这个结婚并不因为爱情的年代	110.1万次播放
【iU最酷榜】5分钟让你做个明白纳税人111203	109.8万次播放
原来这才是她最想要的礼物	109.8万次播放
北京地铁里的实拍  寂寞的蚁族压力大	109.4万次播放
国产凌凌漆 （皇迈毛头鹰Maoheadhawk）	109.4万次播放
2014春运抢票微电影《回家》，4分40秒彻底看哭	109.3万次播放
[原创游戏视频]真实CS2	109.3万次播放
【iu酷播】第6期 爱有多久高露两难选夫	109.3万次播放
信号屏蔽靠边，让监考老师肾抖的神器来了！	109.2万次播放
《嘻哈四重奏》第二季精彩预告	109.1万次播放
《门闩》 成都信息工程学院 DMA年度作品	108.9万次播放
【iu最酷榜】国产蝙蝠侠称霸上海滩 120831	108.8万次播放
《末日过后》预告	108.6万次播放
毅丝和黑木耳的故事：备自修 剧组 正片前期预告MV	108.6万次播放
泰山侠之勇救裴图丕	108.4万次播放
百年婚纱店	108.3万次播放
《非诚勿扰3》之海棠香国	108.2万次播放
微电影-让爱快速升温	108.1万次播放
幸福只有一步之遥	108.1万次播放
我们等你回家吃饭	108.0万次播放
看电影遇上吸血鬼如何约起，答案有亮点	107.9万次播放
幸福语录之包小柏	107.8万次播放
《伦敦玩死你！》	107.7万次播放
[放放上传]推荐视频：牛人刺激短片：手机大战---我的手机是变形金刚（猜是哪两个手机）	107.5万次播放
吉林铁路公安处微电影《舌尖上的警营》带你品尝不一样的警营味道！	107.5万次播放
大食女友 (一)	107.2万次播放
【我有话要说】03期：女找男难还是男找女难	107.2万次播放
《聚》	106.9万次播放
A面B面	106.8万次播放
天天新作《无敌打工仔》	106.8万次播放
电影《我们》 导演：孔令诗  北京大学生电影节  第12届大学生原创影片大赛 参赛作品	106.8万次播放
来我家吧-幸福瞬间	106.7万次播放
麻辣隔壁 第07集（网络版）	106.7万次播放
《斑马线来了》原创网络剧 第一季第一集	106.7万次播放
朝阳群众会咏春，神秘的朝阳群众竟然是这样的人！	106.4万次播放
凄美微电影放肆爱	106.3万次播放
《幸福59厘米》综合预告片	106.3万次播放
《高校惊魂》	106.3万次播放
折服国人的北京地道“卤煮”——《胡同故事》	106.2万次播放
《闪电兄弟》中国版“特斯拉”，勇敢追梦	106.2万次播放
感人微电影：二分之一句诺言	105.9万次播放
刘波梦玩穿越	105.8万次播放
《极品运动狂》第一季02	105.7万次播放
【我有话要说】05期：真爱是否一定要有性	105.7万次播放
趴体不敢近？	105.5万次播放
公益电影 孩子的信	105.5万次播放
火锅故事_20150907	105.4万次播放
老罗只要中杯	105.4万次播放
叛逆少年的完美蜕变	105.3万次播放
2014澳柯玛微电影《27岁合伙人》全线上映！	105.3万次播放
3x3 励志创意短片【vimeo】	105.2万次播放
换妻俱乐部	105.2万次播放
《这不是大学》第二话 穹顶之下，我的大学被罩住啦，妈妈，救我~	105.1万次播放
关机·微电影 【高清】	105.0万次播放
微电影：白地浩哥之决战旌城	105.0万次播放
戒	104.9万次播放
《学生时代》康振君导演感心美视艺术培训中心康振君导演感心美视长春播音主持编导表演空乘	104.7万次播放
《阜新风云之龙湖炮哥》导演剪辑版	104.6万次播放
深圳首部中学生情感MV《聊天》剧情版	104.3万次播放
微电影《烂漫希尔顿》	104.2万次播放
挥手15年，有多少你的青春记忆？	104.1万次播放
[高清]快乐的小2B-01[我要姓X]	104.1万次播放
《快乐的小2B》11 小偷，站住！	104.0万次播放
我与校花的青春性事	104.0万次播放
奋逗2	104.0万次播放
四大萌捕04	103.9万次播放
搞笑：大学yan照门，超级搞笑的情节	103.9万次播放
《一起旅行吧》第二集	103.8万次播放
春节不啰嗦，阿博教你留学后勇敢面对三姑六婆	103.8万次播放
cucn201小爱微电影作品《意外》	103.7万次播放
【iu最酷榜】碉堡神曲致敬李小龙 120907	103.5万次播放
有可能的任务	103.5万次播放
2015成都法治微电影——王继诚（微记录）	103.4万次播放
伴梦想15年，坚持扬帆导航	103.3万次播放
邮轮爱情故事	103.3万次播放
《幸福起点站》第七集新年情人节的浪漫车震	103.2万次播放
路易十三微电影——王大富	103.2万次播放
毛骗·贰 第03集（网络版）	103.2万次播放
凡人说第一集·达藏刺青	102.6万次播放
【iu最酷榜】未来的人类这样泡妞 120817	102.6万次播放
熊猫金币微电影之《爱的新生》	102.5万次播放
